epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,49.6498,1.77344,0.83352,0.89651,0.92472,0.79365,0.95326,0.42027,1.73247,1.51601,0.92255,0.00113878,0.00113878,0.00113878
78,50.2766,1.77028,0.84782,0.90656,0.84236,0.72098,0.84867,0.34307,1.90145,1.6837,0.95677,0.00114869,0.00114869,0.00114869
79,50.8919,1.78565,0.85896,0.90107,0.77282,0.56698,0.72502,0.27935,2.0285,1.81217,0.99438,0.00115846,0.00115846,0.00115846
80,51.5097,1.81638,0.85633,0.90497,0.75835,0.59778,0.72155,0.2724,2.07587,1.82388,1.00478,0.00116809,0.00116809,0.00116809
81,52.1246,1.72697,0.84791,0.90238,0.83787,0.7383,0.8322,0.33057,2.04451,1.67548,0.99716,0.0011776,0.0011776,0.0011776
82,52.7501,1.74608,0.8239,0.91347,0.85447,0.86508,0.90939,0.41289,1.86195,1.4832,0.95676,0.00118697,0.00118697,0.00118697
83,53.3576,1.73583,0.8187,0.92374,0.90352,0.88889,0.93793,0.44233,1.72249,1.32171,0.91811,0.00119622,0.00119622,0.00119622
84,53.9603,1.80587,0.85925,0.90988,0.89047,0.9033,0.9252,0.42696,1.75941,1.32825,0.91667,0.00120533,0.00120533,0.00120533
85,54.5533,1.74659,0.83377,0.90303,0.89116,0.90476,0.94182,0.39549,1.8866,1.43861,0.92403,0.0012143,0.0012143,0.0012143
86,55.1696,1.7492,0.85113,0.90446,0.92267,0.89683,0.9434,0.34296,1.983,1.55044,0.9345,0.00122315,0.00122315,0.00122315
87,55.8061,1.71536,0.8436,0.89574,0.92033,0.90476,0.94072,0.36466,1.92474,1.52846,0.93391,0.00123186,0.00123186,0.00123186
88,56.405,1.72757,0.83978,0.89724,0.93327,0.93651,0.96442,0.44601,1.71835,1.30663,0.91534,0.00124045,0.00124045,0.00124045
89,57.0287,1.8039,0.83703,0.91729,0.93572,0.92431,0.96752,0.44951,1.7586,1.17872,0.91949,0.0012489,0.0012489,0.0012489
