epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,250.493,1.54046,0.66578,0.87317,0.91063,0.85714,0.93112,0.44334,1.72178,0.85638,0.9142,0.001274,0.001274,0.001274
112,252.706,1.4841,0.64739,0.87022,0.88553,0.92092,0.92961,0.44358,1.72295,0.82687,0.91315,0.0012674,0.0012674,0.0012674
113,254.91,1.49121,0.63824,0.87947,0.90783,0.93806,0.95332,0.46287,1.67442,0.85715,0.90648,0.0012608,0.0012608,0.0012608
114,257.144,1.54921,0.66607,0.86977,0.92634,0.92063,0.96126,0.44826,1.7762,0.84377,0.9231,0.0012542,0.0012542,0.0012542
115,259.334,1.48339,0.64259,0.87138,0.91528,0.95238,0.97145,0.45389,1.70273,0.80069,0.91149,0.0012476,0.0012476,0.0012476
116,261.532,1.47403,0.64387,0.87024,0.92239,0.94324,0.96413,0.41827,1.77085,0.79354,0.91874,0.001241,0.001241,0.001241
117,263.74,1.46484,0.62275,0.87615,0.90133,0.9425,0.95155,0.42781,1.81125,0.83121,0.93206,0.0012344,0.0012344,0.0012344
118,265.917,1.48899,0.62359,0.87833,0.90296,0.92063,0.94738,0.42918,1.80909,0.8491,0.93578,0.0012278,0.0012278,0.0012278
119,268.12,1.49043,0.63553,0.86469,0.89309,0.92819,0.94939,0.39383,1.91469,0.85973,0.95284,0.0012212,0.0012212,0.0012212
120,270.313,1.49983,0.65859,0.87711,0.87945,0.94444,0.94661,0.38658,1.97251,0.84271,0.96096,0.0012146,0.0012146,0.0012146
121,272.518,1.51848,0.64641,0.88427,0.9195,0.95238,0.9625,0.45159,1.81388,0.79427,0.93548,0.001208,0.001208,0.001208
122,274.676,1.44602,0.64457,0.87005,0.91622,0.92063,0.94799,0.4737,1.7425,0.77924,0.92604,0.0012014,0.0012014,0.0012014
123,276.887,1.5037,0.64278,0.86295,0.86691,0.89683,0.91334,0.39803,1.94949,0.83592,0.95702,0.0011948,0.0011948,0.0011948
124,279.191,1.53751,0.65016,0.87658,0.91546,0.85949,0.8831,0.35085,2.12911,0.94674,0.98253,0.0011882,0.0011882,0.0011882
125,281.362,1.50073,0.63958,0.872,0.86347,0.88889,0.87463,0.33901,2.11565,0.96706,0.9835,0.0011816,0.0011816,0.0011816
126,283.604,1.51063,0.65509,0.87026,0.80729,0.83118,0.78795,0.31016,2.15577,0.95086,0.99315,0.001175,0.001175,0.001175
127,285.824,1.49134,0.64159,0.86171,0.77006,0.78571,0.76208,0.27372,2.25762,0.95727,1.01483,0.0011684,0.0011684,0.0011684
128,288.052,1.46931,0.62795,0.86667,0.85139,0.84921,0.86774,0.3218,2.09804,0.91112,0.97163,0.0011618,0.0011618,0.0011618
129,290.277,1.45255,0.63043,0.87457,0.94536,0.90476,0.91197,0.38989,1.92298,0.80216,0.9412,0.0011552,0.0011552,0.0011552
130,292.481,1.43006,0.60202,0.87244,0.93384,0.92857,0.9162,0.41326,1.83156,0.77282,0.93489,0.0011486,0.0011486,0.0011486
131,294.694,1.46347,0.62233,0.85305,0.88252,0.90476,0.9097,0.37608,1.94774,0.8416,0.94708,0.001142,0.001142,0.001142
132,296.921,1.42102,0.60756,0.86426,0.90365,0.92857,0.91972,0.40471,1.88424,0.82742,0.93681,0.0011354,0.0011354,0.0011354
133,299.114,1.45896,0.62369,0.8675,0.96921,0.96825,0.96987,0.48726,1.70465,0.75323,0.9031,0.0011288,0.0011288,0.0011288
134,301.348,1.44367,0.61977,0.87021,0.96888,0.98836,0.97201,0.50749,1.66251,0.72812,0.89838,0.0011222,0.0011222,0.0011222
135,303.538,1.37704,0.62762,0.8657,0.97269,0.97619,0.97155,0.50612,1.67027,0.73288,0.90343,0.0011156,0.0011156,0.0011156
136,305.77,1.37053,0.59851,0.86536,0.94146,0.96032,0.96721,0.46043,1.74001,0.77585,0.92514,0.001109,0.001109,0.001109
137,308.032,1.42417,0.60556,0.85143,0.95437,0.89683,0.94455,0.46392,1.69846,0.79662,0.91791,0.0011024,0.0011024,0.0011024
