epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,49.9543,1.69669,0.86368,0.9294,0.93746,0.95181,0.96371,0.41334,1.85873,0.85782,0.92249,0.0014522,0.0014522,0.0014522
85,50.5455,1.7916,0.88648,0.93211,0.93043,0.95528,0.95923,0.42648,1.84057,0.85004,0.92308,0.0014456,0.0014456,0.0014456
86,51.1638,1.73998,0.89368,0.93501,0.93986,0.96825,0.97786,0.45689,1.79768,0.8112,0.92104,0.001439,0.001439,0.001439
87,51.7503,1.63872,0.84378,0.9307,0.93393,0.96032,0.97161,0.42946,1.91434,0.81729,0.93782,0.0014324,0.0014324,0.0014324
88,52.2953,1.78449,0.86885,0.93031,0.93393,0.96032,0.97161,0.42946,1.91434,0.81729,0.93782,0.0014258,0.0014258,0.0014258
89,52.8646,1.76499,0.86553,0.92535,0.9453,0.96002,0.97111,0.40086,1.97698,0.81704,0.94242,0.0014192,0.0014192,0.0014192
90,53.4263,1.7085,0.83136,0.93699,0.93161,0.97305,0.9716,0.4396,1.86896,0.78538,0.92786,0.0014126,0.0014126,0.0014126
91,53.9685,1.65232,0.8102,0.93565,0.96285,0.97619,0.98334,0.50301,1.70715,0.74312,0.90771,0.001406,0.001406,0.001406
92,54.5332,1.69056,0.81656,0.94119,0.94697,1,0.98364,0.51274,1.67629,0.73921,0.90142,0.0013994,0.0013994,0.0013994
93,55.1005,1.66173,0.79594,0.90634,0.94697,1,0.98364,0.51274,1.67629,0.73921,0.90142,0.0013928,0.0013928,0.0013928
94,55.6771,1.57764,0.76651,0.91017,0.94026,0.99935,0.98434,0.51425,1.65196,0.73425,0.89762,0.0013862,0.0013862,0.0013862
95,56.2517,1.61832,0.78542,0.90252,0.95305,0.96653,0.98119,0.5048,1.68891,0.75052,0.90512,0.0013796,0.0013796,0.0013796
96,56.8091,1.71619,0.83805,0.92422,0.93999,0.92063,0.96274,0.47074,1.75114,0.79632,0.91465,0.001373,0.001373,0.001373
97,57.3679,1.70564,0.84491,0.91196,0.92733,0.91146,0.95168,0.44337,1.80173,0.83622,0.91838,0.0013664,0.0013664,0.0013664
98,57.8847,1.66444,0.83514,0.92462,0.92733,0.91146,0.95168,0.44337,1.80173,0.83622,0.91838,0.0013598,0.0013598,0.0013598
99,58.4323,1.59313,0.80249,0.92707,0.92125,0.92843,0.9383,0.43982,1.7715,0.81746,0.91478,0.0013532,0.0013532,0.0013532
100,58.9843,1.67165,0.80566,0.90605,0.96818,0.96605,0.97129,0.50897,1.626,0.75715,0.89807,0.0013466,0.0013466,0.0013466
101,59.5206,1.63873,0.8229,0.92154,0.97193,0.98413,0.97226,0.51408,1.64241,0.753,0.89808,0.00134,0.00134,0.00134
102,60.0791,1.65035,0.81152,0.91432,0.96538,0.98413,0.96651,0.51477,1.64539,0.76729,0.9035,0.0013334,0.0013334,0.0013334
103,60.6103,1.66127,0.78258,0.91509,0.96538,0.98413,0.96651,0.51477,1.64539,0.76729,0.9035,0.0013268,0.0013268,0.0013268
104,61.1668,1.69171,0.79433,0.91209,0.94186,0.97619,0.96291,0.49225,1.68899,0.78827,0.90956,0.0013202,0.0013202,0.0013202
